id,question_en,answer_vi,answer_en,category,search_keyword,detail meaning
16,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
17,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
18,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
19,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
20,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
21,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
22,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
23,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
24,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
25,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
26,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
27,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
28,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
29,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
30,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
31,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
32,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
33,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
34,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
35,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
36,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
37,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
38,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
39,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
40,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
41,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
42,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
43,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
44,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
45,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
46,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
47,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
48,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
49,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
50,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
51,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
52,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
53,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
54,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
55,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
56,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
57,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
58,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
59,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
60,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
61,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
62,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
63,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
64,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
65,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
66,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
67,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
68,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
69,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
70,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
71,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
72,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
73,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
74,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
75,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
76,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
77,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
78,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
79,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
80,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
81,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
82,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
83,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
84,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
85,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
86,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
87,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
88,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
89,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
90,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
91,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
92,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
93,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
94,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
95,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
96,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
97,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
98,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
99,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
100,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
101,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
102,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
103,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
104,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
105,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
106,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
107,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
108,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
109,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
110,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
111,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
112,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
113,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
114,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
115,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
116,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
117,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
118,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
119,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
120,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
121,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
122,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
123,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
124,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
125,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
126,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
127,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
128,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
129,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
130,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
131,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
132,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
133,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
134,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
135,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
136,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
137,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
138,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
139,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
140,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
